method,paid_action_completed,x_m,y_m,heading_index,action_just_completed,next_action_selected,source_trace
S,1,0,0,3,left,forward,audit_results/v36_online_confirmation_20260918/case03/trace.json
S,2,-1,0,3,forward,forward,audit_results/v36_online_confirmation_20260918/case03/trace.json
S,3,-2,0,3,forward,forward,audit_results/v36_online_confirmation_20260918/case03/trace.json
S,4,-3,0,3,forward,right,audit_results/v36_online_confirmation_20260918/case03/trace.json
S,5,-3,0,0,right,right,audit_results/v36_online_confirmation_20260918/case03/trace.json
S,6,-3,0,1,right,forward,audit_results/v36_online_confirmation_20260918/case03/trace.json
S,7,-2,0,1,forward,forward,audit_results/v36_online_confirmation_20260918/case03/trace.json
S,8,-1,0,1,forward,forward,audit_results/v36_online_confirmation_20260918/case03/trace.json
S,9,0,0,1,forward,forward,audit_results/v36_online_confirmation_20260918/case03/trace.json
S,10,1,0,1,forward,forward,audit_results/v36_online_confirmation_20260918/case03/trace.json
S,11,2,0,1,forward,forward,audit_results/v36_online_confirmation_20260918/case03/trace.json
S,12,3,0,1,forward,left,audit_results/v36_online_confirmation_20260918/case03/trace.json
S,13,3,0,0,left,left,audit_results/v36_online_confirmation_20260918/case03/trace.json
S,14,3,0,3,left,forward,audit_results/v36_online_confirmation_20260918/case03/trace.json
S,15,2,0,3,forward,forward,audit_results/v36_online_confirmation_20260918/case03/trace.json
S,16,1,0,3,forward,forward,audit_results/v36_online_confirmation_20260918/case03/trace.json
S,17,0,0,3,forward,right,audit_results/v36_online_confirmation_20260918/case03/trace.json
S,18,0,0,0,right,right,audit_results/v36_online_confirmation_20260918/case03/trace.json
S,19,0,0,1,right,forward,audit_results/v36_online_confirmation_20260918/case03/trace.json
S,20,1,0,1,forward,forward,audit_results/v36_online_confirmation_20260918/case03/trace.json
S,21,2,0,1,forward,forward,audit_results/v36_online_confirmation_20260918/case03/trace.json
S,22,3,0,1,forward,left,audit_results/v36_online_confirmation_20260918/case03/trace.json
S,23,3,0,0,left,forward,audit_results/v36_online_confirmation_20260918/case03/trace.json
S,24,3,1,0,forward,forward,audit_results/v36_online_confirmation_20260918/case03/trace.json
S,25,3,2,0,forward,forward,audit_results/v36_online_confirmation_20260918/case03/trace.json
S,26,3,3,0,forward,forward,audit_results/v36_online_confirmation_20260918/case03/trace.json
S,27,3,4,0,forward,left,audit_results/v36_online_confirmation_20260918/case03/trace.json
S,28,3,4,3,left,left,audit_results/v36_online_confirmation_20260918/case03/trace.json
S,29,3,4,2,left,forward,audit_results/v36_online_confirmation_20260918/case03/trace.json
S,30,3,3,2,forward,right,audit_results/v36_online_confirmation_20260918/case03/trace.json
S,31,3,3,3,right,left,audit_results/v36_online_confirmation_20260918/case03/trace.json
S,32,3,3,2,left,forward,audit_results/v36_online_confirmation_20260918/case03/trace.json
S,33,3,2,2,forward,right,audit_results/v36_online_confirmation_20260918/case03/trace.json
S,34,3,2,3,right,left,audit_results/v36_online_confirmation_20260918/case03/trace.json
S,35,3,2,2,left,forward,audit_results/v36_online_confirmation_20260918/case03/trace.json
S,36,3,1,2,forward,forward,audit_results/v36_online_confirmation_20260918/case03/trace.json
S,37,3,0,2,forward,right,audit_results/v36_online_confirmation_20260918/case03/trace.json
S,38,3,0,3,right,forward,audit_results/v36_online_confirmation_20260918/case03/trace.json
S,39,2,0,3,forward,forward,audit_results/v36_online_confirmation_20260918/case03/trace.json
S,40,1,0,3,forward,forward,audit_results/v36_online_confirmation_20260918/case03/trace.json
S,41,0,0,3,forward,right,audit_results/v36_online_confirmation_20260918/case03/trace.json
S,42,0,0,0,right,,audit_results/v36_online_confirmation_20260918/case03/trace.json
